processor_transaction_id,merchant_order_id,processor_event_type,processor_event_time,gross_amount,fee_amount,net_amount,currency,settlement_batch_id,processor_status
SYNTH-PROC-000028,SYNTH-ORDER-000028,CAPTURE,2026-01-14T14:40:33Z,1215.62,35.55,1180.07,USD,SYNTH-BATCH-USD-2026-01-16-0000,SETTLED
SYNTH-PROC-000028-REFUND,SYNTH-ORDER-000028,REFUND,2026-01-15T14:30:33Z,-607.81,0.0,-607.81,USD,SYNTH-BATCH-REFUND-000028,SETTLED
SYNTH-PROC-000029,SYNTH-ORDER-000029,CAPTURE,2026-01-01T16:45:28Z,2232.77,65.05,2167.72,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
SYNTH-PROC-000030,SYNTH-ORDER-000030,CAPTURE,2026-01-02T18:26:47Z,1815.34,52.94,1762.4,EUR,SYNTH-BATCH-DUPLICATE-000030,SETTLED
SYNTH-PROC-000031,SYNTH-ORDER-000031,CAPTURE,2026-01-03T20:34:20Z,571.97,16.89,555.08,USD,SYNTH-BATCH-CURRENCY-000031,SETTLED
SYNTH-PROC-000032,SYNTH-ORDER-000032,CAPTURE,2026-01-04T22:39:57Z,1173.13,34.32,1138.81,USD,SYNTH-BATCH-USD-2026-01-06-0000,SETTLED
SYNTH-PROC-000033,SYNTH-ORDER-000033,CAPTURE,2026-01-05T00:51:28Z,1959.72,57.13,1902.59,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000034,SYNTH-ORDER-000034,CAPTURE,2026-01-06T03:20:33Z,1682.53,49.09,1633.44,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000035,SYNTH-ORDER-000035,CAPTURE,2026-01-07T05:52:56Z,440.56,13.08,427.48,USD,SYNTH-BATCH-LATE-000035,SETTLED
SYNTH-PROC-000036,SYNTH-ORDER-000036,CAPTURE,2026-01-08T07:22:57Z,1204.12,35.22,1168.9,USD,SYNTH-BATCH-USD-2026-01-10-0000,SETTLED
SYNTH-PROC-000037,SYNTH-ORDER-000037,CAPTURE,2026-01-09T10:25:45Z,1174.22,34.35,1139.87,USD,SYNTH-BATCH-USD-2026-01-11-0000,SETTLED
SYNTH-PROC-000038,SYNTH-ORDER-000038,CAPTURE,2026-01-10T12:34:56Z,1871.76,54.58,1817.18,USD,SYNTH-BATCH-USD-2026-01-12-0000,SETTLED
SYNTH-PROC-000039,SYNTH-ORDER-000039,CAPTURE,2026-01-11T14:01:28Z,722.00,21.24,700.76,USD,SYNTH-BATCH-USD-2026-01-13-0000,SETTLED
SYNTH-PROC-000040,SYNTH-ORDER-000040,CAPTURE,2026-01-12T16:59:57Z,445.09,13.21,431.88,EUR,SYNTH-BATCH-EUR-2026-01-14-0000,SETTLED
SYNTH-PROC-000041,SYNTH-ORDER-000041,CAPTURE,2026-01-13T18:32:29Z,2333.15,67.96,2265.19,USD,SYNTH-BATCH-CURRENCY-000041,SETTLED
SYNTH-PROC-000042,SYNTH-ORDER-000042,CAPTURE,2026-01-14T20:42:55Z,802.72,23.58,779.14,USD,SYNTH-BATCH-USD-2026-01-16-0000,SETTLED
SYNTH-PROC-000042,SYNTH-ORDER-000042,CAPTURE,2026-01-14T20:42:55Z,802.72,23.58,779.14,USD,SYNTH-BATCH-USD-2026-01-16-0000,SETTLED
SYNTH-PROC-000043,SYNTH-ORDER-000043,CAPTURE,2026-01-01T23:27:38Z,596.11,17.59,578.52,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
SYNTH-PROC-000044,SYNTH-ORDER-000044,CAPTURE,2026-01-02T01:32:38Z,888.02,26.05,861.97,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
SYNTH-PROC-000045,SYNTH-ORDER-000045,CAPTURE,2026-01-03T03:57:12Z,308.61,9.25,299.36,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000046,SYNTH-ORDER-000046,CAPTURE,2026-01-04T05:29:49Z,1365.15,39.89,1325.26,EUR,SYNTH-BATCH-CURRENCY-000046,SETTLED
SYNTH-PROC-000047,SYNTH-ORDER-000047,CAPTURE,2026-01-05T08:26:41Z,2191.81,63.86,2127.95,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000048,SYNTH-ORDER-000048,CAPTURE,2026-01-06T10:37:06Z,460.95,13.67,447.28,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000049,SYNTH-ORDER-000049,CAPTURE,2026-01-07T12:21:49Z,1040.18,30.47,1009.71,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000050,SYNTH-ORDER-000050,CAPTURE,2026-01-08T14:43:46Z,89.08,2.88,86.2,EUR,SYNTH-BATCH-EUR-2026-01-10-0000,SETTLED
SYNTH-PROC-000051,SYNTH-ORDER-000051,CAPTURE,2026-01-09T16:58:12Z,1615.84,47.16,1568.68,GBP,SYNTH-BATCH-GBP-2026-01-11-0000,SETTLED
SYNTH-PROC-000052,SYNTH-ORDER-000052,CAPTURE,2026-01-10T19:28:37Z,212.38,6.46,205.92,USD,SYNTH-BATCH-USD-2026-01-12-0000,SETTLED
SYNTH-PROC-000053,SYNTH-ORDER-000053,CAPTURE,2026-01-11T20:56:02Z,2297.97,66.94,2231.03,USD,SYNTH-BATCH-USD-2026-01-13-0000,SETTLED
SYNTH-PROC-000054,SYNTH-ORDER-000054,CAPTURE,2026-01-12T23:51:58Z,1077.69,31.55,1046.14,USD,SYNTH-BATCH-USD-2026-01-14-0000,SETTLED
SYNTH-PROC-000055,SYNTH-ORDER-000055,CAPTURE,2026-01-13T01:56:27Z,1653.82,48.26,1605.56,USD,SYNTH-BATCH-USD-2026-01-15-0000,SETTLED
SYNTH-PROC-000056,SYNTH-ORDER-000056,CAPTURE,2026-01-14T04:05:31Z,1581.67,46.17,1535.5,USD,SYNTH-BATCH-USD-2026-01-16-0000,SETTLED
SYNTH-PROC-000057,SYNTH-ORDER-000057,CAPTURE,2026-01-01T06:18:05Z,277.33,8.34,268.99,USD,SYNTH-BATCH-DUPLICATE-000057,SETTLED
SYNTH-PROC-000058,SYNTH-ORDER-000058,CAPTURE,2026-01-02T08:41:40Z,1903.21,55.49,1847.72,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
SYNTH-PROC-000059,SYNTH-ORDER-000059,CAPTURE,2026-01-03T10:21:50Z,2495.80,72.68,2423.12,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000060,SYNTH-ORDER-000060,CAPTURE,2026-01-04T12:52:13Z,714.24,21.01,693.23,EUR,SYNTH-BATCH-EUR-2026-01-06-0000,SETTLED
SYNTH-PROC-000061,SYNTH-ORDER-000061,CAPTURE,2026-01-05T15:03:18Z,1271.68,37.18,1234.5,GBP,SYNTH-BATCH-GBP-2026-01-07-0000,SETTLED
SYNTH-PROC-000062,SYNTH-ORDER-000062,CAPTURE,2026-01-06T17:17:53Z,1839.72,53.65,1786.07,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000063,SYNTH-ORDER-000063,CAPTURE,2026-01-07T19:44:32Z,2472.32,72.0,2400.32,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000064,SYNTH-ORDER-000064,CAPTURE,2026-01-08T21:54:20Z,133.00,4.16,128.84,USD,SYNTH-BATCH-USD-2026-01-10-0000,SETTLED
SYNTH-PROC-000065,SYNTH-ORDER-000065,CAPTURE,2026-01-09T23:28:42Z,1473.40,43.03,1430.37,USD,SYNTH-BATCH-USD-2026-01-11-0000,SETTLED
SYNTH-PROC-000066,SYNTH-ORDER-000066,CAPTURE,2026-01-10T02:09:08Z,1256.12,36.73,1219.39,USD,SYNTH-BATCH-USD-2026-01-12-0000,SETTLED
SYNTH-PROC-000067,SYNTH-ORDER-000067,CAPTURE,2026-01-11T04:11:43Z,99.91,3.2,96.71,USD,SYNTH-BATCH-USD-2026-01-13-0000,SETTLED
SYNTH-PROC-000068,SYNTH-ORDER-000068,CAPTURE,2026-01-12T05:58:19Z,770.25,22.64,747.61,USD,SYNTH-BATCH-USD-2026-01-14-0000,SETTLED
SYNTH-PROC-000069,SYNTH-ORDER-000069,CAPTURE,2026-01-13T08:51:30Z,532.47,15.74,516.73,USD,SYNTH-BATCH-USD-2026-01-15-0000,SETTLED
SYNTH-PROC-000070,SYNTH-ORDER-000070,CAPTURE,2026-01-14T10:51:44Z,378.23,11.27,366.96,EUR,SYNTH-BATCH-EUR-2026-01-16-0000,SETTLED
SYNTH-PROC-000071,SYNTH-ORDER-000071,CAPTURE,2026-01-01T13:15:22Z,132.62,4.15,128.47,GBP,SYNTH-BATCH-GBP-2026-01-03-0000,SETTLED
SYNTH-PROC-000072,SYNTH-ORDER-000072,CAPTURE,2026-01-02T15:28:18Z,625.42,18.44,606.98,EUR,SYNTH-BATCH-CURRENCY-000072,SETTLED
SYNTH-PROC-000073,SYNTH-ORDER-000073,CAPTURE,2026-01-03T17:39:28Z,1889.05,55.08,1833.97,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000074,SYNTH-ORDER-000074,CAPTURE,2026-01-04T19:14:46Z,538.35,15.91,522.44,USD,SYNTH-BATCH-USD-2026-01-06-0000,SETTLED
SYNTH-PROC-000075,SYNTH-ORDER-000075,CAPTURE,2026-01-05T21:14:47Z,370.45,11.04,359.41,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000076,SYNTH-ORDER-000076,CAPTURE,2026-01-06T23:34:51Z,119.49,3.77,115.72,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000077,SYNTH-ORDER-000077,CAPTURE,2026-01-07T02:09:52Z,1805.83,52.67,1753.16,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000078,SYNTH-ORDER-000078,CAPTURE,2026-01-08T04:27:42Z,970.87,28.46,942.41,USD,SYNTH-BATCH-USD-2026-01-10-0000,SETTLED
SYNTH-PROC-000079,SYNTH-ORDER-000079,CAPTURE,2026-01-09T06:00:25Z,317.72,9.51,308.21,USD,SYNTH-BATCH-USD-2026-01-11-0000,SETTLED
SYNTH-PROC-000079,SYNTH-ORDER-000079,CAPTURE,2026-01-09T06:00:25Z,317.72,9.51,308.21,USD,SYNTH-BATCH-USD-2026-01-11-0000,SETTLED
SYNTH-PROC-000080,SYNTH-ORDER-000080,CAPTURE,2026-01-10T09:05:18Z,418.48,12.44,406.04,EUR,SYNTH-BATCH-EUR-2026-01-12-0000,SETTLED
SYNTH-PROC-000081,SYNTH-ORDER-000081,CAPTURE,2026-01-11T10:52:06Z,1853.19,54.04,1799.15,GBP,SYNTH-BATCH-GBP-2026-01-13-0000,SETTLED
SYNTH-PROC-000083,SYNTH-ORDER-000083,CAPTURE,2026-01-13T14:59:54Z,1566.81,45.74,1521.07,USD,SYNTH-BATCH-USD-2026-01-15-0000,SETTLED
SYNTH-PROC-000084,SYNTH-ORDER-000084,CAPTURE,2026-01-14T17:22:29Z,1437.79,42.0,1395.79,USD,SYNTH-BATCH-USD-2026-01-16-0000,SETTLED
SYNTH-PROC-000085,SYNTH-ORDER-000085,CAPTURE,2026-01-01T19:54:10Z,1706.24,49.78,1656.46,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
SYNTH-PROC-000086,SYNTH-ORDER-000086,CAPTURE,2026-01-02T21:52:39Z,2382.24,69.38,2312.86,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
SYNTH-PROC-000087,SYNTH-ORDER-000087,CAPTURE,2026-01-03T00:25:47Z,467.12,13.85,453.27,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000088,SYNTH-ORDER-000088,CAPTURE,2026-01-04T02:02:29Z,1359.12,39.71,1319.41,USD,SYNTH-BATCH-USD-2026-01-06-0000,SETTLED
SYNTH-PROC-000089,SYNTH-ORDER-000089,CAPTURE,2026-01-05T04:28:55Z,616.07,18.17,597.9,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000090,SYNTH-ORDER-000090,CAPTURE,2026-01-06T06:42:45Z,2369.81,69.02,2300.79,EUR,SYNTH-BATCH-EUR-2026-01-08-0000,SETTLED
SYNTH-PROC-000091,SYNTH-ORDER-000091,CAPTURE,2026-01-07T08:57:20Z,1918.27,55.93,1862.34,GBP,SYNTH-BATCH-GBP-2026-01-09-0000,SETTLED
SYNTH-PROC-000092,SYNTH-ORDER-000092,CAPTURE,2026-01-08T10:34:14Z,291.83,8.76,283.07,USD,SYNTH-BATCH-USD-2026-01-10-0000,SETTLED
SYNTH-PROC-000093,SYNTH-ORDER-000093,CAPTURE,2026-01-09T12:46:55Z,219.41,6.66,212.75,USD,SYNTH-BATCH-LATE-000093,SETTLED
SYNTH-PROC-000095,SYNTH-ORDER-000095,CAPTURE,2026-01-11T17:20:20Z,1608.12,46.94,1561.18,USD,SYNTH-BATCH-USD-2026-01-13-0000,SETTLED
SYNTH-PROC-000096,SYNTH-ORDER-000096,CAPTURE,2026-01-12T19:55:48Z,1065.94,31.21,1034.73,USD,SYNTH-BATCH-USD-2026-01-14-0000,SETTLED
SYNTH-PROC-000097,SYNTH-ORDER-000097,CAPTURE,2026-01-13T21:37:34Z,1337.96,39.1,1298.86,USD,SYNTH-BATCH-USD-2026-01-15-0000,SETTLED
SYNTH-PROC-000098,SYNTH-ORDER-000098,CAPTURE,2026-01-14T00:10:17Z,141.67,4.41,137.26,USD,SYNTH-BATCH-LATE-000098,SETTLED
SYNTH-PROC-000099,SYNTH-ORDER-000099,CAPTURE,2026-01-01T02:25:49Z,2255.06,65.7,2189.36,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
SYNTH-PROC-000100,SYNTH-ORDER-000100,CAPTURE,2026-01-02T04:10:06Z,2258.32,65.79,2192.53,EUR,SYNTH-BATCH-EUR-2026-01-04-0000,SETTLED
SYNTH-PROC-000101,SYNTH-ORDER-000101,CAPTURE,2026-01-03T07:18:25Z,1533.65,44.78,1488.87,GBP,SYNTH-BATCH-GBP-2026-01-05-0000,SETTLED
SYNTH-PROC-000102,SYNTH-ORDER-000102,CAPTURE,2026-01-04T09:13:20Z,1165.13,34.09,1131.04,USD,SYNTH-BATCH-USD-2026-01-06-0000,SETTLED
SYNTH-PROC-000103,SYNTH-ORDER-000103,CAPTURE,2026-01-05T10:57:13Z,617.96,18.22,599.74,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000104,SYNTH-ORDER-000104,CAPTURE,2026-01-06T13:34:17Z,442.26,13.13,429.13,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000105,SYNTH-ORDER-000105,CAPTURE,2026-01-07T15:21:24Z,429.04,12.74,416.3,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000106,SYNTH-ORDER-000106,CAPTURE,2026-01-08T18:08:06Z,1388.02,40.55,1347.47,USD,SYNTH-BATCH-USD-2026-01-10-0000,SETTLED
SYNTH-PROC-000107,SYNTH-ORDER-000107,CAPTURE,2026-01-09T20:23:30Z,1436.90,41.97,1394.93,USD,SYNTH-BATCH-USD-2026-01-11-0000,SETTLED
SYNTH-PROC-000108,SYNTH-ORDER-000108,CAPTURE,2026-01-10T22:17:20Z,296.95,8.91,288.04,USD,SYNTH-BATCH-USD-2026-01-12-0000,SETTLED
SYNTH-PROC-000109,SYNTH-ORDER-000109,CAPTURE,2026-01-11T00:35:33Z,253.02,7.64,245.38,USD,SYNTH-BATCH-USD-2026-01-13-0000,SETTLED
SYNTH-PROC-000110,SYNTH-ORDER-000110,CAPTURE,2026-01-12T02:27:20Z,790.35,23.22,767.13,EUR,SYNTH-BATCH-BANK-CURRENCY-000110,SETTLED
SYNTH-PROC-000111,SYNTH-ORDER-000111,CAPTURE,2026-01-13T04:48:21Z,610.09,17.99,592.1,GBP,SYNTH-BATCH-GBP-2026-01-15-0000,SETTLED
SYNTH-PROC-000112,SYNTH-ORDER-000112,CAPTURE,2026-01-14T07:22:24Z,1139.87,33.36,1106.51,USD,SYNTH-BATCH-USD-2026-01-16-0000,SETTLED
SYNTH-PROC-000113,SYNTH-ORDER-000113,CAPTURE,2026-01-01T09:17:13Z,1026.48,30.07,996.41,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
SYNTH-PROC-000114,SYNTH-ORDER-000114,CAPTURE,2026-01-02T11:09:31Z,2481.28,72.26,2409.02,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
SYNTH-PROC-000115,SYNTH-ORDER-000115,CAPTURE,2026-01-03T13:55:42Z,213.00,6.48,206.52,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000116,SYNTH-ORDER-000116,CAPTURE,2026-01-04T15:30:50Z,1262.99,36.93,1226.06,USD,SYNTH-BATCH-USD-2026-01-06-0000,SETTLED
SYNTH-PROC-000117,SYNTH-ORDER-000117,CAPTURE,2026-01-05T18:05:39Z,913.34,26.79,886.55,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000118,SYNTH-ORDER-000118,CAPTURE,2026-01-06T20:39:51Z,435.03,12.92,422.11,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000119,SYNTH-ORDER-000119,CAPTURE,2026-01-07T22:29:17Z,2354.68,68.59,2286.09,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000120,SYNTH-ORDER-000120,CAPTURE,2026-01-08T00:11:40Z,1548.83,45.22,1503.61,EUR,SYNTH-BATCH-EUR-2026-01-10-0000,SETTLED
SYNTH-PROC-000120-REFUND,SYNTH-ORDER-000120,REFUND,2026-01-09T00:01:40Z,-774.42,0.0,-774.42,EUR,SYNTH-BATCH-REFUND-000120,SETTLED
SYNTH-PROC-000121,SYNTH-ORDER-000121,CAPTURE,2026-01-09T03:18:33Z,1232.52,36.04,1196.48,GBP,SYNTH-BATCH-GBP-2026-01-11-0000,SETTLED
SYNTH-PROC-000122,SYNTH-ORDER-000122,CAPTURE,2026-01-10T05:26:30Z,1204.08,35.22,1168.86,USD,SYNTH-BATCH-USD-2026-01-12-0000,SETTLED
SYNTH-PROC-000123,SYNTH-ORDER-000123,CAPTURE,2026-01-11T06:45:49Z,1571.94,45.89,1526.05,USD,SYNTH-BATCH-USD-2026-01-13-0000,SETTLED
SYNTH-PROC-000124,SYNTH-ORDER-000124,CAPTURE,2026-01-12T09:22:35Z,902.00,26.46,875.54,USD,SYNTH-BATCH-USD-2026-01-14-0000,SETTLED
SYNTH-PROC-000125,SYNTH-ORDER-000125,CAPTURE,2026-01-13T11:50:13Z,1684.38,49.15,1635.23,USD,SYNTH-BATCH-USD-2026-01-15-0000,SETTLED
SYNTH-PROC-000126,SYNTH-ORDER-000126,CAPTURE,2026-01-14T13:30:08Z,1071.68,31.38,1040.3,USD,SYNTH-BATCH-USD-2026-01-16-0000,SETTLED
SYNTH-PROC-000127,SYNTH-ORDER-000127,CAPTURE,2026-01-01T15:50:08Z,2424.68,70.62,2354.06,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
SYNTH-PROC-000128,SYNTH-ORDER-000128,CAPTURE,2026-01-02T18:12:47Z,613.62,18.09,595.53,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
SYNTH-PROC-000129,SYNTH-ORDER-000129,CAPTURE,2026-01-03T19:56:38Z,673.44,19.83,653.61,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000130,SYNTH-ORDER-000130,CAPTURE,2026-01-04T22:37:46Z,541.45,16.0,525.45,EUR,SYNTH-BATCH-EUR-2026-01-06-0000,SETTLED
SYNTH-PROC-000131,SYNTH-ORDER-000131,CAPTURE,2026-01-05T00:32:46Z,2113.13,61.58,2051.55,GBP,SYNTH-BATCH-GBP-2026-01-07-0000,SETTLED
SYNTH-PROC-000132,SYNTH-ORDER-000132,CAPTURE,2026-01-06T03:12:32Z,1088.03,31.85,1056.18,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000133,SYNTH-ORDER-000133,CAPTURE,2026-01-07T05:38:05Z,324.87,9.72,315.15,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000134,SYNTH-ORDER-000134,CAPTURE,2026-01-08T07:50:27Z,745.15,21.91,723.24,USD,SYNTH-BATCH-USD-2026-01-10-0000,SETTLED
SYNTH-PROC-000135,SYNTH-ORDER-000135,CAPTURE,2026-01-09T09:31:55Z,631.87,18.62,613.25,USD,SYNTH-BATCH-USD-2026-01-11-0000,SETTLED
SYNTH-PROC-000135-REFUND,SYNTH-ORDER-000135,REFUND,2026-01-10T09:21:55Z,-631.87,0.0,-631.87,USD,SYNTH-BATCH-REFUND-000135,SETTLED
SYNTH-PROC-000136,SYNTH-ORDER-000136,CAPTURE,2026-01-10T11:54:58Z,2069.58,60.32,2009.26,USD,SYNTH-BATCH-USD-2026-01-12-0000,SETTLED
SYNTH-PROC-000137,SYNTH-ORDER-000137,CAPTURE,2026-01-11T14:08:58Z,1268.04,37.07,1230.97,USD,SYNTH-BATCH-USD-2026-01-13-0000,SETTLED
SYNTH-PROC-000138,SYNTH-ORDER-000138,CAPTURE,2026-01-12T16:20:34Z,733.11,21.56,711.55,USD,SYNTH-BATCH-USD-2026-01-14-0000,SETTLED
SYNTH-PROC-000139,SYNTH-ORDER-000139,CAPTURE,2026-01-13T18:14:37Z,376.32,11.21,365.11,USD,SYNTH-BATCH-USD-2026-01-15-0000,SETTLED
SYNTH-PROC-000140,SYNTH-ORDER-000140,CAPTURE,2026-01-14T20:09:22Z,1384.34,40.45,1343.89,EUR,SYNTH-BATCH-EUR-2026-01-16-0000,SETTLED
SYNTH-PROC-000141,SYNTH-ORDER-000141,CAPTURE,2026-01-01T22:25:12Z,56.53,2.31,54.22,GBP,SYNTH-BATCH-GBP-2026-01-03-0000,SETTLED
SYNTH-PROC-000142,SYNTH-ORDER-000142,CAPTURE,2026-01-02T01:04:32Z,1571.63,45.88,1525.75,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
