bank_entry_id,settlement_batch_id,booked_at,credited_amount,currency,bank_reference,description
SYNTH-BANK-000025,SYNTH-BATCH-CURRENCY-000378,2026-01-15T15:52:04Z,2233.45,EUR,SYNTH-BANK-REF-000025,Synthetic settlement for SYNTH-BATCH-CURRENCY-000378
SYNTH-BANK-000026,SYNTH-BATCH-CURRENCY-000415,2026-01-10T01:04:53Z,1526.87,EUR,SYNTH-BANK-REF-000026,Synthetic settlement for SYNTH-BATCH-CURRENCY-000415
SYNTH-BANK-000027,SYNTH-BATCH-CURRENCY-000416,2026-01-11T03:29:08Z,152.44,EUR,SYNTH-BANK-REF-000027,Synthetic settlement for SYNTH-BATCH-CURRENCY-000416
SYNTH-BANK-000028,SYNTH-BATCH-CURRENCY-000426,2026-01-07T01:43:08Z,1667.87,EUR,SYNTH-BANK-REF-000028,Synthetic settlement for SYNTH-BATCH-CURRENCY-000426
SYNTH-BANK-000029,SYNTH-BATCH-CURRENCY-000705,2026-01-06T15:30:47Z,2178.11,EUR,SYNTH-BANK-REF-000029,Synthetic settlement for SYNTH-BATCH-CURRENCY-000705
SYNTH-BANK-000030,SYNTH-BATCH-CURRENCY-000765,2026-01-10T03:13:53Z,1877.59,EUR,SYNTH-BANK-REF-000030,Synthetic settlement for SYNTH-BATCH-CURRENCY-000765
SYNTH-BANK-000031,SYNTH-BATCH-DUPLICATE-000030,2026-01-03T18:26:47Z,1762.4,EUR,SYNTH-BANK-REF-000031,Synthetic settlement for SYNTH-BATCH-DUPLICATE-000030
SYNTH-BANK-000031,SYNTH-BATCH-DUPLICATE-000030,2026-01-03T18:26:47Z,1762.4,EUR,SYNTH-BANK-REF-000031,Synthetic settlement for SYNTH-BATCH-DUPLICATE-000030
SYNTH-BANK-000032,SYNTH-BATCH-DUPLICATE-000057,2026-01-02T06:18:05Z,268.99,USD,SYNTH-BANK-REF-000032,Synthetic settlement for SYNTH-BATCH-DUPLICATE-000057
SYNTH-BANK-000032,SYNTH-BATCH-DUPLICATE-000057,2026-01-02T06:18:05Z,268.99,USD,SYNTH-BANK-REF-000032,Synthetic settlement for SYNTH-BATCH-DUPLICATE-000057
SYNTH-BANK-000033,SYNTH-BATCH-DUPLICATE-000202,2026-01-07T13:14:19Z,817.84,USD,SYNTH-BANK-REF-000033,Synthetic settlement for SYNTH-BATCH-DUPLICATE-000202
SYNTH-BANK-000033,SYNTH-BATCH-DUPLICATE-000202,2026-01-07T13:14:19Z,817.84,USD,SYNTH-BANK-REF-000033,Synthetic settlement for SYNTH-BATCH-DUPLICATE-000202
SYNTH-BANK-000034,SYNTH-BATCH-DUPLICATE-000331,2026-01-10T08:42:04Z,2368.57,GBP,SYNTH-BANK-REF-000034,Synthetic settlement for SYNTH-BATCH-DUPLICATE-000331
SYNTH-BANK-000034,SYNTH-BATCH-DUPLICATE-000331,2026-01-10T08:42:04Z,2368.57,GBP,SYNTH-BANK-REF-000034,Synthetic settlement for SYNTH-BATCH-DUPLICATE-000331
SYNTH-BANK-000035,SYNTH-BATCH-DUPLICATE-000341,2026-01-06T06:35:19Z,97.68,GBP,SYNTH-BANK-REF-000035,Synthetic settlement for SYNTH-BATCH-DUPLICATE-000341
SYNTH-BANK-000035,SYNTH-BATCH-DUPLICATE-000341,2026-01-06T06:35:19Z,97.68,GBP,SYNTH-BANK-REF-000035,Synthetic settlement for SYNTH-BATCH-DUPLICATE-000341
SYNTH-BANK-000036,SYNTH-BATCH-DUPLICATE-000554,2026-01-09T19:08:41Z,1356.56,USD,SYNTH-BANK-REF-000036,Synthetic settlement for SYNTH-BATCH-DUPLICATE-000554
SYNTH-BANK-000036,SYNTH-BATCH-DUPLICATE-000554,2026-01-09T19:08:41Z,1356.56,USD,SYNTH-BANK-REF-000036,Synthetic settlement for SYNTH-BATCH-DUPLICATE-000554
SYNTH-BANK-000037,SYNTH-BATCH-DUPLICATE-000849,2026-01-10T20:20:23Z,257.29,USD,SYNTH-BANK-REF-000037,Synthetic settlement for SYNTH-BATCH-DUPLICATE-000849
SYNTH-BANK-000037,SYNTH-BATCH-DUPLICATE-000849,2026-01-10T20:20:23Z,257.29,USD,SYNTH-BANK-REF-000037,Synthetic settlement for SYNTH-BATCH-DUPLICATE-000849
SYNTH-BANK-000038,SYNTH-BATCH-DUPLICATE-000875,2026-01-08T05:42:08Z,1558.17,USD,SYNTH-BANK-REF-000038,Synthetic settlement for SYNTH-BATCH-DUPLICATE-000875
SYNTH-BANK-000038,SYNTH-BATCH-DUPLICATE-000875,2026-01-08T05:42:08Z,1558.17,USD,SYNTH-BANK-REF-000038,Synthetic settlement for SYNTH-BATCH-DUPLICATE-000875
SYNTH-BANK-000039,SYNTH-BATCH-DUPLICATE-000926,2026-01-03T21:39:34Z,1692.29,USD,SYNTH-BANK-REF-000039,Synthetic settlement for SYNTH-BATCH-DUPLICATE-000926
SYNTH-BANK-000039,SYNTH-BATCH-DUPLICATE-000926,2026-01-03T21:39:34Z,1692.29,USD,SYNTH-BANK-REF-000039,Synthetic settlement for SYNTH-BATCH-DUPLICATE-000926
SYNTH-BANK-000040,SYNTH-BATCH-DUPLICATE-000991,2026-01-12T20:39:30Z,949.2,GBP,SYNTH-BANK-REF-000040,Synthetic settlement for SYNTH-BATCH-DUPLICATE-000991
SYNTH-BANK-000040,SYNTH-BATCH-DUPLICATE-000991,2026-01-12T20:39:30Z,949.2,GBP,SYNTH-BANK-REF-000040,Synthetic settlement for SYNTH-BATCH-DUPLICATE-000991
SYNTH-BANK-000041,SYNTH-BATCH-EUR-2026-01-04-0000,2026-01-03T14:56:49Z,5283.54,EUR,SYNTH-BANK-REF-000041,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-04-0000
SYNTH-BANK-000042,SYNTH-BATCH-EUR-2026-01-04-0001,2026-01-03T20:10:53Z,3818.97,EUR,SYNTH-BANK-REF-000042,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-04-0001
SYNTH-BANK-000043,SYNTH-BATCH-EUR-2026-01-04-0002,2026-01-03T22:01:35Z,5232.94,EUR,SYNTH-BANK-REF-000043,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-04-0002
SYNTH-BANK-000044,SYNTH-BATCH-EUR-2026-01-06-0000,2026-01-05T22:37:46Z,4081.15,EUR,SYNTH-BANK-REF-000044,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-06-0000
SYNTH-BANK-000045,SYNTH-BATCH-EUR-2026-01-06-0001,2026-01-05T20:58:26Z,3560.14,EUR,SYNTH-BANK-REF-000045,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-06-0001
SYNTH-BANK-000046,SYNTH-BATCH-EUR-2026-01-06-0002,2026-01-05T22:03:44Z,3693.49,EUR,SYNTH-BANK-REF-000046,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-06-0002
SYNTH-BANK-000047,SYNTH-BATCH-EUR-2026-01-08-0000,2026-01-07T20:29:42Z,7524.15,EUR,SYNTH-BANK-REF-000047,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-08-0000
SYNTH-BANK-000048,SYNTH-BATCH-EUR-2026-01-08-0001,2026-01-07T22:27:09Z,3363.81,EUR,SYNTH-BANK-REF-000048,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-08-0001
SYNTH-BANK-000049,SYNTH-BATCH-EUR-2026-01-08-0002,2026-01-07T20:06:25Z,9659.88,EUR,SYNTH-BANK-REF-000049,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-08-0002
SYNTH-BANK-000050,SYNTH-BATCH-EUR-2026-01-10-0000,2026-01-09T20:20:01Z,4717.45,EUR,SYNTH-BANK-REF-000050,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-10-0000
SYNTH-BANK-000051,SYNTH-BATCH-EUR-2026-01-10-0001,2026-01-09T22:03:31Z,5979.65,EUR,SYNTH-BANK-REF-000051,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-10-0001
SYNTH-BANK-000052,SYNTH-BATCH-EUR-2026-01-10-0002,2026-01-10T00:04:14Z,1085.47,EUR,SYNTH-BANK-REF-000052,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-10-0002
SYNTH-BANK-000053,SYNTH-BATCH-EUR-2026-01-12-0000,2026-01-11T22:48:14Z,4993.45,EUR,SYNTH-BANK-REF-000053,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-12-0000
SYNTH-BANK-000054,SYNTH-BATCH-EUR-2026-01-12-0001,2026-01-11T20:40:24Z,8584.71,EUR,SYNTH-BANK-REF-000054,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-12-0001
SYNTH-BANK-000055,SYNTH-BATCH-EUR-2026-01-12-0002,2026-01-11T22:47:56Z,4420.96,EUR,SYNTH-BANK-REF-000055,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-12-0002
SYNTH-BANK-000056,SYNTH-BATCH-EUR-2026-01-14-0000,2026-01-13T22:36:48Z,4666.67,EUR,SYNTH-BANK-REF-000056,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-14-0000
SYNTH-BANK-000057,SYNTH-BATCH-EUR-2026-01-14-0001,2026-01-13T18:04:20Z,5803.11,EUR,SYNTH-BANK-REF-000057,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-14-0001
SYNTH-BANK-000058,SYNTH-BATCH-EUR-2026-01-14-0002,2026-01-13T20:51:58Z,5140.88,EUR,SYNTH-BANK-REF-000058,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-14-0002
SYNTH-BANK-000059,SYNTH-BATCH-EUR-2026-01-16-0000,2026-01-15T20:09:22Z,5517.08,EUR,SYNTH-BANK-REF-000059,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-16-0000
SYNTH-BANK-000060,SYNTH-BATCH-EUR-2026-01-16-0001,2026-01-15T18:20:22Z,2482.71,EUR,SYNTH-BANK-REF-000060,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-16-0001
SYNTH-BANK-000061,SYNTH-BATCH-EUR-2026-01-16-0002,2026-01-15T14:30:20Z,3903.64,EUR,SYNTH-BANK-REF-000061,Synthetic settlement for SYNTH-BATCH-EUR-2026-01-16-0002
SYNTH-BANK-000062,SYNTH-BATCH-GBP-2026-01-03-0000,2026-01-02T22:25:12Z,2921.83,GBP,SYNTH-BANK-REF-000062,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-03-0000
SYNTH-BANK-000063,SYNTH-BATCH-GBP-2026-01-03-0001,2026-01-02T20:22:35Z,6017.69,GBP,SYNTH-BANK-REF-000063,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-03-0001
SYNTH-BANK-000064,SYNTH-BATCH-GBP-2026-01-03-0002,2026-01-02T16:20:03Z,5960.49,GBP,SYNTH-BANK-REF-000064,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-03-0002
SYNTH-BANK-000065,SYNTH-BATCH-GBP-2026-01-05-0000,2026-01-04T17:17:04Z,4698.52,GBP,SYNTH-BANK-REF-000065,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-05-0000
SYNTH-BANK-000066,SYNTH-BATCH-GBP-2026-01-05-0001,2026-01-04T22:56:33Z,6692.95,GBP,SYNTH-BANK-REF-000066,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-05-0001
SYNTH-BANK-000067,SYNTH-BATCH-GBP-2026-01-05-0002,2026-01-04T21:01:10Z,3839.61,GBP,SYNTH-BANK-REF-000067,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-05-0002
SYNTH-BANK-000068,SYNTH-BATCH-GBP-2026-01-07-0000,2026-01-06T20:20:57Z,3535.11,GBP,SYNTH-BANK-REF-000068,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-07-0000
SYNTH-BANK-000069,SYNTH-BATCH-GBP-2026-01-07-0001,2026-01-06T23:07:28Z,5154.01,GBP,SYNTH-BANK-REF-000069,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-07-0001
SYNTH-BANK-000070,SYNTH-BATCH-GBP-2026-01-07-0002,2026-01-07T00:06:10Z,7370.62,GBP,SYNTH-BANK-REF-000070,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-07-0002
SYNTH-BANK-000071,SYNTH-BATCH-GBP-2026-01-09-0000,2026-01-08T22:32:47Z,5792.42,GBP,SYNTH-BANK-REF-000071,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-09-0000
SYNTH-BANK-000072,SYNTH-BATCH-GBP-2026-01-09-0001,2026-01-08T20:49:06Z,3885.49,GBP,SYNTH-BANK-REF-000072,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-09-0001
SYNTH-BANK-000073,SYNTH-BATCH-GBP-2026-01-09-0002,2026-01-08T23:03:20Z,4248.8,GBP,SYNTH-BANK-REF-000073,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-09-0002
SYNTH-BANK-000074,SYNTH-BATCH-GBP-2026-01-11-0000,2026-01-10T23:05:57Z,5098.72,GBP,SYNTH-BANK-REF-000074,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-11-0000
SYNTH-BANK-000075,SYNTH-BATCH-GBP-2026-01-11-0001,2026-01-10T18:52:08Z,5667.64,GBP,SYNTH-BANK-REF-000075,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-11-0001
SYNTH-BANK-000076,SYNTH-BATCH-GBP-2026-01-11-0002,2026-01-10T20:26:13Z,4216.74,GBP,SYNTH-BANK-REF-000076,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-11-0002
SYNTH-BANK-000077,SYNTH-BATCH-GBP-2026-01-13-0000,2026-01-12T20:40:45Z,7412.53,GBP,SYNTH-BANK-REF-000077,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-13-0000
SYNTH-BANK-000078,SYNTH-BATCH-GBP-2026-01-13-0001,2026-01-12T22:28:26Z,7034.23,GBP,SYNTH-BANK-REF-000078,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-13-0001
SYNTH-BANK-000079,SYNTH-BATCH-GBP-2026-01-13-0002,2026-01-12T14:39:36Z,2531.34,GBP,SYNTH-BANK-REF-000079,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-13-0002
SYNTH-BANK-000080,SYNTH-BATCH-GBP-2026-01-15-0000,2026-01-14T14:21:14Z,4208.82,GBP,SYNTH-BANK-REF-000080,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-15-0000
SYNTH-BANK-000081,SYNTH-BATCH-GBP-2026-01-15-0001,2026-01-14T20:21:55Z,4438.55,GBP,SYNTH-BANK-REF-000081,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-15-0001
SYNTH-BANK-000082,SYNTH-BATCH-GBP-2026-01-15-0002,2026-01-14T18:37:38Z,2970.51,GBP,SYNTH-BANK-REF-000082,Synthetic settlement for SYNTH-BATCH-GBP-2026-01-15-0002
SYNTH-BANK-000083,SYNTH-BATCH-LATE-000005,2026-01-12T11:18:02Z,1993.14,USD,SYNTH-BANK-REF-000083,Synthetic settlement for SYNTH-BATCH-LATE-000005
SYNTH-BANK-000084,SYNTH-BATCH-LATE-000035,2026-01-14T05:52:56Z,427.48,USD,SYNTH-BANK-REF-000084,Synthetic settlement for SYNTH-BATCH-LATE-000035
SYNTH-BANK-000085,SYNTH-BATCH-LATE-000093,2026-01-16T12:46:55Z,212.75,USD,SYNTH-BANK-REF-000085,Synthetic settlement for SYNTH-BATCH-LATE-000093
SYNTH-BANK-000086,SYNTH-BATCH-LATE-000098,2026-01-21T00:10:17Z,137.26,USD,SYNTH-BANK-REF-000086,Synthetic settlement for SYNTH-BATCH-LATE-000098
SYNTH-BANK-000087,SYNTH-BATCH-LATE-000376,2026-01-19T11:30:09Z,1162.69,USD,SYNTH-BANK-REF-000087,Synthetic settlement for SYNTH-BATCH-LATE-000376
SYNTH-BANK-000088,SYNTH-BATCH-LATE-000425,2026-01-12T23:28:38Z,1974.18,USD,SYNTH-BANK-REF-000088,Synthetic settlement for SYNTH-BATCH-LATE-000425
SYNTH-BANK-000089,SYNTH-BATCH-LATE-000485,2026-01-16T11:12:54Z,1191.46,USD,SYNTH-BANK-REF-000089,Synthetic settlement for SYNTH-BATCH-LATE-000485
SYNTH-BANK-000090,SYNTH-BATCH-LATE-000581,2026-01-14T06:49:10Z,300.72,GBP,SYNTH-BANK-REF-000090,Synthetic settlement for SYNTH-BATCH-LATE-000581
SYNTH-BANK-000091,SYNTH-BATCH-LATE-000679,2026-01-14T06:22:30Z,766.57,USD,SYNTH-BANK-REF-000091,Synthetic settlement for SYNTH-BATCH-LATE-000679
SYNTH-BANK-000092,SYNTH-BATCH-LATE-000709,2026-01-16T00:45:12Z,320.86,USD,SYNTH-BANK-REF-000092,Synthetic settlement for SYNTH-BATCH-LATE-000709
SYNTH-BANK-000093,SYNTH-BATCH-LATE-000729,2026-01-08T20:16:12Z,2198.0,USD,SYNTH-BANK-REF-000093,Synthetic settlement for SYNTH-BATCH-LATE-000729
SYNTH-BANK-000094,SYNTH-BATCH-LATE-000739,2026-01-18T18:31:13Z,1682.44,USD,SYNTH-BANK-REF-000094,Synthetic settlement for SYNTH-BATCH-LATE-000739
SYNTH-BANK-000095,SYNTH-BATCH-LATE-000752,2026-01-17T22:59:31Z,672.73,USD,SYNTH-BANK-REF-000095,Synthetic settlement for SYNTH-BATCH-LATE-000752
SYNTH-BANK-000096,SYNTH-BATCH-LATE-000758,2026-01-09T11:34:47Z,964.63,USD,SYNTH-BANK-REF-000096,Synthetic settlement for SYNTH-BATCH-LATE-000758
SYNTH-BANK-000097,SYNTH-BATCH-LATE-000764,2026-01-15T01:34:32Z,1441.11,USD,SYNTH-BANK-REF-000097,Synthetic settlement for SYNTH-BATCH-LATE-000764
SYNTH-BANK-000098,SYNTH-BATCH-LATE-000805,2026-01-14T19:10:58Z,44.06,USD,SYNTH-BANK-REF-000098,Synthetic settlement for SYNTH-BATCH-LATE-000805
SYNTH-BANK-000099,SYNTH-BATCH-LATE-000811,2026-01-20T08:55:14Z,1344.49,GBP,SYNTH-BANK-REF-000099,Synthetic settlement for SYNTH-BATCH-LATE-000811
SYNTH-BANK-000100,SYNTH-BATCH-LATE-000920,2026-01-17T08:40:56Z,1304.98,EUR,SYNTH-BANK-REF-000100,Synthetic settlement for SYNTH-BATCH-LATE-000920
SYNTH-BANK-000101,SYNTH-BATCH-LATE-000966,2026-01-21T13:51:54Z,1457.29,USD,SYNTH-BANK-REF-000101,Synthetic settlement for SYNTH-BATCH-LATE-000966
SYNTH-BANK-000102,SYNTH-BATCH-LATE-000986,2026-01-13T09:11:43Z,294.36,USD,SYNTH-BANK-REF-000102,Synthetic settlement for SYNTH-BATCH-LATE-000986
SYNTH-BANK-000103,SYNTH-BATCH-PROC-ONLY-000001,2026-01-02T01:00:00Z,400.88,USD,SYNTH-BANK-REF-000103,Synthetic settlement for SYNTH-BATCH-PROC-ONLY-000001
SYNTH-BANK-000104,SYNTH-BATCH-PROC-ONLY-000002,2026-01-02T02:00:00Z,429.93,USD,SYNTH-BANK-REF-000104,Synthetic settlement for SYNTH-BATCH-PROC-ONLY-000002
SYNTH-BANK-000105,SYNTH-BATCH-PROC-ONLY-000003,2026-01-02T03:00:00Z,377.13,USD,SYNTH-BANK-REF-000105,Synthetic settlement for SYNTH-BATCH-PROC-ONLY-000003
SYNTH-BANK-000106,SYNTH-BATCH-PROC-ONLY-000004,2026-01-02T04:00:00Z,75.06,USD,SYNTH-BANK-REF-000106,Synthetic settlement for SYNTH-BATCH-PROC-ONLY-000004
SYNTH-BANK-000107,SYNTH-BATCH-PROC-ONLY-000005,2026-01-02T05:00:00Z,836.06,USD,SYNTH-BANK-REF-000107,Synthetic settlement for SYNTH-BATCH-PROC-ONLY-000005
SYNTH-BANK-000108,SYNTH-BATCH-PROC-ONLY-000006,2026-01-02T06:00:00Z,703.6,USD,SYNTH-BANK-REF-000108,Synthetic settlement for SYNTH-BATCH-PROC-ONLY-000006
SYNTH-BANK-000109,SYNTH-BATCH-PROC-ONLY-000007,2026-01-02T07:00:00Z,699.58,USD,SYNTH-BANK-REF-000109,Synthetic settlement for SYNTH-BATCH-PROC-ONLY-000007
SYNTH-BANK-000110,SYNTH-BATCH-PROC-ONLY-000008,2026-01-02T08:00:00Z,274.0,USD,SYNTH-BANK-REF-000110,Synthetic settlement for SYNTH-BATCH-PROC-ONLY-000008
SYNTH-BANK-000111,SYNTH-BATCH-PROC-ONLY-000009,2026-01-02T09:00:00Z,359.0,USD,SYNTH-BANK-REF-000111,Synthetic settlement for SYNTH-BATCH-PROC-ONLY-000009
SYNTH-BANK-000112,SYNTH-BATCH-PROC-ONLY-000010,2026-01-02T10:00:00Z,617.99,USD,SYNTH-BANK-REF-000112,Synthetic settlement for SYNTH-BATCH-PROC-ONLY-000010
SYNTH-BANK-000113,SYNTH-BATCH-PROC-ONLY-000011,2026-01-02T11:00:00Z,591.02,USD,SYNTH-BANK-REF-000113,Synthetic settlement for SYNTH-BATCH-PROC-ONLY-000011
SYNTH-BANK-000114,SYNTH-BATCH-PROC-ONLY-000012,2026-01-02T12:00:00Z,635.71,USD,SYNTH-BANK-REF-000114,Synthetic settlement for SYNTH-BATCH-PROC-ONLY-000012
SYNTH-BANK-000115,SYNTH-BATCH-PROC-ONLY-000013,2026-01-02T13:00:00Z,629.74,USD,SYNTH-BANK-REF-000115,Synthetic settlement for SYNTH-BATCH-PROC-ONLY-000013
SYNTH-BANK-000116,SYNTH-BATCH-PROC-ONLY-000014,2026-01-02T14:00:00Z,7.56,USD,SYNTH-BANK-REF-000116,Synthetic settlement for SYNTH-BATCH-PROC-ONLY-000014
SYNTH-BANK-000117,SYNTH-BATCH-PROC-ONLY-000015,2026-01-02T15:00:00Z,540.72,USD,SYNTH-BANK-REF-000117,Synthetic settlement for SYNTH-BATCH-PROC-ONLY-000015
SYNTH-BANK-000118,SYNTH-BATCH-PROC-ONLY-000016,2026-01-02T16:00:00Z,816.59,USD,SYNTH-BANK-REF-000118,Synthetic settlement for SYNTH-BATCH-PROC-ONLY-000016
SYNTH-BANK-000119,SYNTH-BATCH-PROC-ONLY-000017,2026-01-02T17:00:00Z,490.82,USD,SYNTH-BANK-REF-000119,Synthetic settlement for SYNTH-BATCH-PROC-ONLY-000017
SYNTH-BANK-000120,SYNTH-BATCH-PROC-ONLY-000018,2026-01-02T18:00:00Z,152.71,USD,SYNTH-BANK-REF-000120,Synthetic settlement for SYNTH-BATCH-PROC-ONLY-000018
